Currency,Rate,Exchange Date
USD,27.2782,01.01.2022
EUR,30.9226,01.01.2022
USD,28.4555,01.02.2022
EUR,31.7464,01.02.2022
USD,29.2549,01.03.2022
EUR,33.1707,01.03.2022
USD,29.2549,01.04.2022
EUR,32.4773,01.04.2022
USD,29.2549,01.05.2022
EUR,30.6869,01.05.2022
USD,29.2549,01.06.2022
EUR,31.3364,01.06.2022
USD,29.2549,01.07.2022
EUR,30.4017,01.07.2022
USD,36.5686,01.08.2022
EUR,37.3365,01.08.2022
USD,36.5686,01.09.2022
EUR,36.5704,01.09.2022
USD,36.5686,01.10.2022
EUR,35.5611,01.10.2022
USD,36.5686,01.11.2022
EUR,36.2377,01.11.2022
USD,36.5686,01.12.2022
EUR,37.9198,01.12.2022
